text,rating,time,user_id,gmap_id,category,description,avg_rating,num_of_reviews,violation_type
Excellent customer service by Vanessa she really went above to make sure my cross plaques weren't going to get broken after leaving the store. Extremely a very clean store well organized and stocked.  Even with COVID19 measures in place I wouldn't shop anywhere else.,5,1606935415344,111168493709115313638,0x80dcaaf6775ec453:0x6b98758ed6bb18ed,"['Craft store', 'Fabric store', 'Hobby store', 'Home goods store', 'Picture frame shop', 'Scrapbooking store']","Chain carrying a variety of arts & crafts materials, plus party supplies, fabric & home-decor items.",4.5,1877,4
Love the fragrances. Nice to have one closer to the mountains.,5,1555610905739,107989742995084406229,0x80dcab2f44c578ab:0x3edf1ece1f036be5,"['Beauty supply store', 'Candle store', 'Cosmetics store', 'Gift basket store', 'Perfume store']","Chain with housebrand bath & body products in a range of scents, plus candles & home fragrances.",4.5,347,4
Amazing burgers and timely service,5,1478488519375,113467006122123007872,0x80dd313f77f97221:0x352d69a460f426dc,['Restaurant'],Pastrami & burgers pair with omelets & Mexican fare at this counter-service eatery that's open late.,4.4,2688,4
"Running through the mill. Food is bland, just okay. Wait staff are friendly unless you dawdle after paying the bill. Felt rushed by other staff, not my waitress.",3,1495280921653,117247856162775544440,0x809ac70004176ed3:0x7f58922613336d12,"['Restaurant', 'Bar', 'Brewery', 'Sports bar']",Family-friendly chain outpost pairs familiar pub fare with an extensive list of house brews.,4.0,2147,4
Way to bright. Turn down the lights,2,1515000041857,114016539042871126880,0x80903e2dfca53537:0x228279e0da024ddf,['Restaurant'],"Laid-back hub for American fare, seasonal cocktails, draft beers & games such as bocce & volleyball.",4.3,648,2
They are fast here I ordered and I was going to get my fountain drink and they called my number it took one minute.,4,1516921888969,112905430882242410613,0x80c2b938dfb62a9d:0x3b6610edd269dd10,"['Fast food restaurant', 'Breakfast restaurant', 'Coffee shop', 'Hamburger restaurant', 'Restaurant', 'Sandwich shop']","Classic, long-running fast-food chain known for its burgers, fries & shakes.",4.0,1361,4
No wait - friendly and professional staff - piercing is available - affordable prices.,5,1570849360221,105629133694616500048,0x80c2b8e2125c89f5:0xd0d5ddb52813344c,['Tattoo shop'],,4.9,45,4
"(Translated by Google) The best soups !!!

(Original)
Les meilleures soupes !!!",5,1565327419990,109825171375085020666,0x808580e311fa8115:0x3f44089a41e5ac6e,"['Bakery', 'Cafe', 'Salad shop', 'Sandwich shop']","Famed for sourdough since 1849, this California bakery/cafe chain also offers light American bites.",4.4,6884,4
Best way to push yourself in an hour workout!,5,1527006914915,113664881971514193624,0x809ad607041a716b:0x84886938d387fbb0,"['Gym', 'Personal trainer', 'Physical fitness program']",,5.0,336,4
The Bomb,5,1618122319558,115456228085285433088,0x80c2c6fe679116f7:0xc8e5f087a178aedb,"['Mexican restaurant', 'Latin American restaurant', 'Restaurant']",Unpretentious taco spot earns buzz for its braised meat & veggie stews atop handmade tortillas.,4.6,1938,2
"Nice lunch deal for $5 bucks.  My wife and i got their $5 lunch hamburger , frys, coke and hot fudge sunday and we were stuffed.    Counter girl was quick and prompt to take our order and we didnt wait to long for the food to be brought to our table.  Overall the restaurant was busy and clean but still enjoyable for a lunch crowd.",5,1564266863030,116948766013496513945,0x809b203e055f9e13:0xf974e26fabf47b7c,"['Fast food restaurant', 'Ice cream shop']",Soft-serve ice cream & signature shakes top the menu at this classic burger & fries fast-food chain.,4.1,598,4
They have pretty good food here,4,1572912301557,116757646694504350547,0x80eab869939cb943:0x9d24d52fd62c8fdd,['Chinese restaurant'],,4.0,465,4
"I recommend everyone try their pastries before you leave! (French toast is amazing) Brunch, lunch & dinner are always on point. I've never had a bad experience. Facility is clean and well kept up. Kitchen and behind the counter look very well kept up!",5,1571355327708,101807306799978601135,0x809ada563e42bc55:0x4d9794002495ed25,"['Bakery', 'Cafe']",Spacious bakeshop & restaurant with ample seating featuring custom cakes & American dishes.,4.5,1717,4
"Beautiful building the tour is free and very worthwhile.  The tour covered art architecture and history.  You're told no photographs are allowed on the tour. Our tour was led by very knowledgeable volunteer.

Parking is not great in downtown Sacramento you may have to walk aways  to get to the museum this may be a problem depending on your Mobility.",5,1496729930933,117736735878305540266,0x809ad12f31db4601:0x8699a2f02b040df5,"['State park', 'Museum', 'Tourist attraction']",Imposing restored 1856 Victorian mansion that serves as a museum with period furnishings & decor.,4.6,120,4
Best fast food,5,1514565798764,111527049795792233245,0x80dcb86e476e3f0b:0x407d9f16d7372322,"['Hamburger restaurant', 'American restaurant', 'Diner', 'Fast food restaurant', 'Lunch restaurant', 'Restaurant']","Classic California-based burger chain serving customizable patties, hand-cut fries & thick shakes.",4.7,2734,4
Great place for produce.,4,1575758928423,103289553032874770290,0x808f87abb9c83df5:0x9fb0a5eb68d079a5,"['Grocery store', 'Supermarket']","Eco-focused & organic grocer stocking produce, meats, seafood, dairy, bulk foods & beauty products.",4.4,1103,4
Stopped in during the lunch hour. It wasn't crowded. The staff was friendly. My food came quickly. Very good.,5,1576393034969,105684662489156976582,0x809ad7a6a87bc07b:0xc633932e7e83eadb,"['Chicken restaurant', 'Fast food restaurant']","Fast-food chain known for its buckets of fried chicken, plus wings & sides.",3.8,377,4
Taco truck row!,5,1492532221117,115569429175019472538,0x80905392661521bf:0x9bb5c3fc1afbbda9,['Mexican restaurant'],,4.3,1808,2
Pretty slim pickings in their Christmas decorations department.,3,1544853152087,112774696783338905282,0x80dd35a25e87b51d:0xb8c3a72f90622f0,"['Home improvement store', 'Appliance store', 'Bathroom supply store', 'Cabinet store', 'Hardware store', 'Lighting store', 'Paint store', 'Rug store', 'Tool store', 'Window treatment store']","Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).",4.2,969,4
Side car racing was really cool!,5,1468359528597,100411814521526809781,0x809b04d1803229ed:0x79c194ce20b64945,['Fairground'],,4.4,658,4
Fun exciting and helpful people work here. Looking for a wig or extensions is so easy here. And I love the selection.,5,1499938258077,108197121174676367229,0x809ad7a778d89467:0xe94b588e2543ac80,"['Beauty supply store', 'Cosmetics store']",,4.5,358,4
Great. Fast service. Food good. Very clean,5,1499530670335,113444576159202480145,0x80ea695ae5505a57:0xdaaa7968f787b773,"['Fast food restaurant', 'American restaurant', 'Latin American restaurant', 'Takeout Restaurant', 'Mexican restaurant', 'Restaurant']","Fast-food chain for Mexican standards like tacos, burritos & quesadillas plus breakfast.",4.0,745,4
"They have a large assortment of pastries, and other small bites to go. It's a nice little stop in for something quick.
Consider this place for your next craving of pastries.",4,1585590115818,116276806188970060231,0x808576e0d93ab35f:0xdfb688556434e438,"['Bakery', 'Coffee shop', 'Pizza restaurant', 'Pub', 'Wedding bakery']","Known for buttermilk coffee cakes, this stalwart fixture fixes up donuts, danishes & sandwiches.",4.8,214,4
They delivered food to us. My husband is bedbound and we are both in our seventies. Good box of canned goods and fresh vegetables.,5,1598756601758,102243456410316866367,0x80dcb05fa20c8e81:0x64a2becdc08aa7df,"['Non-profit organization', 'Social services organization']",,4.6,107,4
They are the best. They know appliances!,5,1619797040164,115935329600371079180,0x80dd332e2395a1db:0x5565234a42fe87da,"['Appliance repair service', 'Appliance store']","Showroom for brand-name kitchen, laundry & outdoor appliances, including new & used models.",4.0,38,4
"Super pleased to find this place!!! Much to my horror, I had not been able to find a sushi joint that would make shiitaki maki in all of Morgan Hill, but Hamani is now my go to place for sushi, because even though its not on their menu, they were super happy to oblige me. The boyfriend and I thought all the food we tried was killer. Service was above and beyond excellent.",5,1618713710937,107850667982314523001,0x808e208214057517:0x743071e9dcb90cf7,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Seafood restaurant']",,4.4,275,4
"I usually avoid shell gas stations because of their up selling on the pump. Just let me pump gas, don't ask me about joining rewards every single time. It's annoying. Also, they design the pumps poorly, so it's easy to hit the wrong fuel button with the fuel hose. It would be easy to fill it up with the wrong gas without realizing it. Never have this issue at other stations.

Shell is not interested in customer satisfaction, just your money.",1,1559430491662,102599679270008499845,0x809b052c7aae6fe1:0x7b5dd5f6f2c0cfcf,"['Gas station', 'ATM', 'Convenience store']",,3.9,58,4
"Cafe Roma makes you feel like you are at home_a! The staff are super friendly,  attentive to concerns and very pleasant.

We had the sausage and mushroom pizza &  truffle pizza. The pizzas were really yummy! We would come back just for that. Took another pizza to go! Thin crust that was crisp and softness, sauce that is sweet and fresh toppings. Pizza for days!!

The avocado scampi was interesting, not quite sure the  purpose. Half cut avocado, with some pieces of shrimp, and plenty of  arugula. It was more veggie than seafood.The octopus was amazing!! In the past I was not into that 8 legged sea monster, but now that is a new go- to!

Brussels sprouts au gratin had a great flavor ,roasted goodness, with scant amount of cheese. The eggplant Parmesan was salty and had plain tomato sauce. Suggestions of a richer sauce with garlic, onions, dice tomatoes and  more seasoning. It was blah with blah.

Had the Torte Della Nonna & Tiramisu, the Torta was more impressive, rich and memorable.

OMG the drinks, they were awesome! Had espresso martini and cucumber martini. That would swing the pendulum to choose to be an alcoholic. Happy hour is where it is at!

Parking is available on the street, or across the street in underground plaza parking structure. Go after 5pm  and it is a  flat $7.
Outside & inside seating, bar with a comfortable and hip lounge, or enjoy the dinning area.

Would totally return and try out other great dishes.",5,1550259681525,109160354616725142690,0x80c2bc0742a5e807:0x11fe2928196280a,"['Restaurant', 'Italian restaurant']","Upscale eatery with a patio & piano bar offering Northern Italian fare, plus happy hours & DJ sets.",4.2,608,4
Good views good food good service,5,1535898259860,111140520084146691855,0x80db1c6f4a4e4649:0x48b248dc94b10c25,"['Public golf course', 'American restaurant', 'Bar & grill', 'Event venue', 'Wedding venue']",,4.5,711,4
"Easy access, large parking area. Near fast food and Home Depot. Close to other furniture stores",5,1513230407801,109928440238556376958,0x809b21de6b7424f3:0x9b62c514914fb6db,"['Furniture store', 'Bedroom furniture store', 'Furniture accessories', 'Furniture maker', 'Furniture manufacturer', 'Home goods store', 'Kitchen furniture store', 'Office furniture store', 'Outdoor furniture store']",Chain selling stylish furniture & home accessories (some branches have custom design services).,4.7,188,4
Very busy and some good bargains. Shop super early if you don't like crowds.,4,1551302219442,105046814051096531342,0x80c25a597b105d1d:0xa060a51372273821,"['Supermarket', 'Bakery', 'Butcher shop', 'Deli', 'Discount supermarket', 'Grocery store', 'Natural goods store', 'Produce market', 'Seafood market']","Employee-owned 24/7 supermarket chain with discounted groceries & bulk foods, plus a deli & bakery.",4.3,1731,4
I love El Pollo chicken its the best.,5,1526155930500,107027970705341129028,0x80c2c9bfab6e7ddb:0xe97cda9f5739849c,"['Mexican restaurant', 'Caterer', 'Chicken restaurant', 'Fast food restaurant']",Fast-food chain outpost known for Mexican classics made with fire-grilled chicken.,3.4,1588,4
"The atmosphere is as ornate and classy as the veneer it represents. The service, food, and accommodations are all fantastic, and its location is superb. Rooted in the heart of Hollywood, you can walk to most destinations like the Hollywood walk of fame or the Mann Chinese theater. I would highly recommend everything about this place.",5,1529361200674,116817647753243171763,0x80c2bf2143ff306b:0x75d2981ab187abc0,['Hotel'],"Storied property offering airy, upscale rooms & suites, plus an outdoor pool & a nightclub.",4.4,3788,4
Delicious or I was so hungry lol.,5,1529188672475,104027442794807948850,0x80c2d2c43ee6f371:0x511d2d6314d9c97d,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",4.1,1403,4
My daughter really loves this place! I think is awesome!!,5,1574644034594,108425834545537015868,0x80c3318046f516f7:0x6f4c64ff6260e1b5,['Indoor playground'],,4.6,168,4
"I can't stop myself from continually returning here. In-N-Out is no doubt the best fast-food place I've ever been to; it's the best burger I've ever had. Despite oftentimes having long waits, In-N-Out is an incredible restaurant that everyone should drop by for a quick bite.",5,1523047971883,113066464132871492882,0x808fb6648b80515f:0x88d351639660ebbc,"['Hamburger restaurant', 'Diner', 'Fast food restaurant', 'Lunch restaurant', 'Restaurant']","Classic California-based burger chain serving customizable patties, hand-cut fries & thick shakes.",4.5,4256,4
Definitely try to go through the rocks to get closer to the falls.,5,1545559611080,101975122341538678049,0x8096f202dfcbf337:0xfaee681eecc4d1da,['Transit station'],,4.9,26,2
"“Great place to Enjoy the Beach”
We parked and walked along the Beach. We didn't have time for more, but this is a great place to watch people and enjoy the park area. There was one water-skier, several SUP boarders, many runners, and lots of people out walking just enjoying the day. There is FREE parking (a huge plus) in a large lot with spaces for trailers and long vehicles, public restrooms, picnic areas, miles of paved walkway, sunshine and shade, and a peaceful feel here. People came to read and study as well. I only not noticed one homeless person, and no dirty needles. A good well-maintained place to feel safe.",4,1518798667110,110620046095184213243,0x80dc01cdb5497795:0xfb322becf6dcf07d,"['Resort hotel', 'Campground', 'Water sports equipment rental service']","Beachfront 40-acre RV resort with 2 pools, a gym, games room, restaurant & half basketball court.",4.4,1788,4
"Friendly staff, fast service and you can check in  on line or on your phone...",4,1551030892732,102483686703380218049,0x809056fd5f5bc7a1:0x2170ad34956edd70,"['Hair salon', 'Beauty salon']",Casual salon offering haircuts for adults & kids along with professional styling products for sale.,3.7,128,4
"Everything breaded chicken is pretty good. Fries are ok. Chick-Fil-A sauce is basically honey mustard with a higher viscosity, but that's ok because I like honey mustard. Drive thru is usually packed for some reason. You're better going inside to get your food. Sorry Atheists, this place is closed on Sunday.",4,1552685832201,106374694810861006803,0x80c34d333b4a80b3:0x7a965fc336b4cd43,"['Fast food restaurant', 'Breakfast restaurant', 'Caterer', 'Chicken restaurant', 'Delivery service', 'Family restaurant']","Fast-food chain serving chicken sandwiches, strips & nuggets along with salads & sides.",4.4,1851,4
Very clean and welcoming restaurant. They provide big portions and for inexpensive prices. We loved the meals a lot and the staff were super amiable and informative. Recommended.,5,1600101477220,114931357947088237763,0x80d94dfd99b059a7:0x2e31750b11201933,['Mexican restaurant'],,3.9,286,4
Not for urban people's,1,1544983112113,118418609363662601166,0x80c2b44be1bcbe13:0x5b1b07cc301a29ca,"['Grocery store', 'Bakery', 'Market', 'Mexican grocery store', 'Supermarket']","Supermarket chain selling produce, dairy, meat & other familiar grocery items.",4.1,1266,4
Delicious Mexican food. 10 puntos! A must for anyone posting through Barstow. We plan our trip around Lola's Kitchen. Enjoy!,5,1544847294676,114980994410053688355,0x80c47ca217a78565:0x5e66e0ff69f5b926,"['Mexican restaurant', 'Restaurant']","Vibrant, casual eatery offering traditional Mexican fare such as enchiladas, tacos & carnitas.",4.6,856,4
"I saw Tenet here on a weekend night - it was pretty easy to get tickets online, but there was an awful line even arriving 30 minutes early (I think we had to wait for all the previous shows cars to leave before we could get in). We got in just in time for the movie to start. Would recommend getting there 45 minutes early and bring some snacks if you're coming on a weekend!",4,1605145562518,110243255149110812126,0x808e3246c25291ad:0x53cafa84a403de9b,"['Movie theater', 'Drive-in movie theater', 'Outdoor movie theater']",This retro drive-in movie theater screens the latest releases & pipes sound into cars via FM radio.,4.4,3339,4
"Food is good, service can be better. The bathrooms need to be cleaned more often.",4,1581809602293,105854332371716615761,0x80c332b12eb927ed:0x43307b3e1c263327,"['Restaurant', 'American restaurant', 'Hamburger restaurant', 'Takeout Restaurant']",Chain for gourmet burgers & other American comfort fare.,4.3,952,4
"Be on time and leave a message they'll get back to you. Staff and Doc are great, very friendly, professional and caring. Very reasonably priced. The wait list at times can be far out but worth it.",5,1569645478467,111427693396991809940,0x80e84e4ea572ad35:0x929bacff1f904596,['Veterinary care'],,4.7,38,4
Food is good and kids can play on machines,4,1562885813543,106503722665842861177,0x80dcef380052ad0f:0xdd028b0550b9359d,['Pizza restaurant'],"Chill spot for pizza, pasta & sandwiches also serving beer, wine & classic starters.",4.5,462,4
"(Translated by Google) Many stores and do not suffer from storage

(Original)
Muchas tiendas y no sufres por estaciobamiento",5,1563736562378,104582901004862222731,0x80c33304a45b3c1d:0xc807e7f142802f22,['Shopping mall'],"Down-to-earth retail hub with department stores, discount clothing shops, beauty salons & more.",4.3,1800,4
"My husband is 82, he wanted more olives in the salad, waitress said no. I wanted a different booth, ours was very tight to sit in. She said all the booths were the same. So I moved myself. Unfortunately ""Christine"" was very Curt .Not a a very good experience.",1,1581885633033,107284070953816445889,0x80dd4b1ed946331f:0xf16e16fdb0002ffd,"['Italian restaurant', 'Caterer', 'Family restaurant', 'Gluten-free restaurant', 'Takeout Restaurant', 'Seafood restaurant', 'Soup restaurant', 'Wine bar']","Lively, family-friendly chain featuring Italian standards such as pastas & salads, with a full bar.",4.3,1992,4
"This is the worst shell I have ever visited can’t believe this is Shell. Chocolates are expired or almost expired taste very old be careful! always check the expiration date on their goods and the gas is a different story comments from other people can tell and the car wash is horrible makes your car dirty and doesn’t clean well, save your money, time and never visit this station till they fix everything",1,1611047819436,100924320036758536077,0x80c2b87c8e37bfbb:0x27623b0bb65249df,"['Gas station', 'ATM', 'Car wash', 'Convenience store']",,2.8,128,4
Waiters English very broken.   He messed up the order.  Then expected us to wait even longer for our meals.,3,1547196230097,112336205711620598012,0x80c2bb468d92647b:0x7d0261af7f73857e,"['Diner', 'Sandwich shop']","Breakfast quesadillas, Cobb salads & burgers round out the menu at this basic American-style diner.",3.9,186,4
No instruction or communication and left feeling insulted. Disappointed.,1,1556332932113,109217799128494379100,0x80eccf91d21e217d:0xbd2e1c62599efa06,"['Spa', 'Day spa', 'Facial spa']",,4.6,421,4
Food and snacks are past sell by date. Not very good,1,1548104571905,110892904628000527118,0x808e1ae5e8d2d14f:0xd404a797c9aa456e,['Shopping mall'],,4.2,661,4
"Drivers count your load, it's very important",3,1564771241614,109094627055393506368,0x80e84928ff04c565:0x4527962ef72cd8cc,['Flower designer'],,4.2,76,2
Honey walnut skrimp is the only reason yall exist,5,1533666269312,117145398762340690151,0x80c2ba87871cc09d:0x1af2ad03170ca1d5,"['Chinese restaurant', 'Asian restaurant', 'Restaurant']","Fast-food chain for Chinese standards, including some health-conscious options.",3.8,268,4
Good food friendly people,5,1571925936153,117621421900347883187,0x80e9adfab92cb2d7:0x1a9b9bdf203d344c,['Mexican restaurant'],,4.5,107,4
Got a breakfast burrito from here and have had food poisoning all day. Not pleased at all.,1,1476941421291,102795801982378291596,0x80dd2c20fc4dac69:0x25277165c2fe74fb,"['Mexican restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Fast food restaurant', 'Taco restaurant']","Mexican fast-food chain dishing up breakfast burritos, tacos, tortas & combination platters.",3.8,542,4
"The conversation center itself is fine, it was the home and garden show that made it seem like we were walking through street vendors in Tijuana Mexico. People should be able to look without being pestered by the sales people. We did buy a spa though.",3,1531411210492,114792074564338715444,0x80dcd7de5e18293d:0x3eb2a2ba13672914,['Convention center'],,4.5,5521,4
The food was delicious and the wine definitely paired well with the pizza.,5,1528461057514,102928393560695473767,0x80858080a56c5bf9:0xaa7b722e8344d9d4,"['Italian restaurant', 'Bar', 'Lounge', 'Pizza restaurant']","Wood-fired, thin-crust pizzas & other Italian standards at a swanky eatery with a lively bar scene.",4.3,1678,4
I had the DTLA dog and Stand Fries and they were delicious,5,1554847604530,104198442974323470092,0x80dcde3ca954cfd9:0xb747a4649b835c19,"['Restaurant', 'American restaurant', 'Caterer', 'Hamburger restaurant', 'Hot dog restaurant', 'Hot dog stand', 'Salad shop', 'Sandwich shop']",,4.5,214,4
This place is turning into a maximum security prison. They have everything under lock and key and treat the customers like criminals. Disgusting place. Will never come here again.,1,1549142541214,117050722197968007519,0x80c355403f4fa4eb:0x34a266188bade429,"['Department store', 'Clothing store', 'Craft store', 'Electronics store', 'Furniture store', 'Grocery store', 'Hardware store', 'Home goods store', 'Sporting goods store', 'Toy store']",,3.8,4929,4
too hot,3,1562967534190,104569458776596929707,0x80ea41bedcf12253:0xf320029d13c23d0a,['Shopping mall'],,4.1,377,4
"Wow, no pressure, very accommodating.  The best experience I have ever had at a car dealership.",5,1584154412668,109713658797270954616,0x809107710d9530c3:0x61b573365544f6aa,"['Car dealer', 'Chauffeur service', 'Chrysler dealer', 'Dodge dealer', 'Jeep dealer', 'Racing car parts store', 'Ram dealer', 'Truck dealer', 'Used car dealer', 'Used truck dealer']",,4.3,497,4
Love it,5,1595562216825,110789083939358555406,0x80c2ce786b379301:0xaf082c7f661e3834,"['Hamburger restaurant', 'Breakfast restaurant', 'Diner', 'Mexican restaurant']",,4.4,334,4
One of my favorite restaurant in Natomas. Food is perfect takeaway or dine in.,5,1505186035154,114527400073436169834,0x809b29fc8973206b:0xbeb84697ef051224,"['Restaurant', 'Chicken restaurant']",,3.9,1035,4
"Very professional staff, always friendly and attentive. Pickup and dropoff are efficient and vehicles are clean and in good condition.",5,1551176212127,104869704939443491377,0x80c29775bb45a9e3:0x7ef7a5828ca14cde,"['Car rental agency', 'Van rental agency']",,4.2,294,4
"After a year of going to this place to enjoy hours of gaming in a friendly environment. This place let's me relive my childhood by displaying toys, board games, and some oddities. This shop is full of fun because the owners understand the need to be able to enjoy an RC car or drone and build fantasies for children and adults by selling toys/games that give parents and children a chance to interact and have fun together.
Thanks for all the fun!",5,1511761935653,111946087390602555666,0x8085b40827d327f5:0x8ae66c12f9352300,"['Toy store', 'Game store', 'Hobby store']",,4.7,318,4
"Local hardware stores are indispensable for the DIYers.  What used to be our nearest OSH is now Ace Hardware.  With fresh coats of paint, updated store layout, it continues to provide what the big block stores can't, a quick in and out for that one tiny part you need without getting sucked into hours of traversing and getting distracted by giant warehouse full of everything you might need/want for your Nth projects (unless of course you enjoy that sort of things, but what about the project you need to finish now?  Hey, I just get distracted!).  Anyway, friendly staff, well organized and and stocked, save yourself some time and get back on your project!  Oh, and the occasional $5 off coupons are nice, too!",5,1613924166113,107289636686037445744,0x80e82f0a9aef829f:0x360beb0e877214a,"['Hardware store', 'Home improvement store', 'Paint store', 'Tool store']","Chain retailer stocking household tools, supplies & more (many family-run or independently owned).",4.5,198,4
Easy accessible always ready,5,1563403357365,105803439462021914775,0x80c2d1f644eeeb09:0xa01a6de919f0aff3,"['Fast food restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Hamburger restaurant']","Burgers, chicken, tacos & breakfast items fill out the menu at this fast-food chain.",4.0,864,4
Great place to have a drink.,4,1507172960528,107927962789104254660,0x80c2c4850232138d:0x6e149f0e0bbbc172,"['American restaurant', 'Bar', 'Californian restaurant', 'Fine dining restaurant']",New American restaurant serving refined steaks & seafood in a quaint cottage with a garden patio.,4.5,595,4
"(Translated by Google) Everything bought empty.

(Original)
Alles leer gekauft.",2,1535599258680,101788163777874527754,0x808f85619d979441:0x1082c500c0c0a0c,"['Discount store', 'Clothing store', 'Craft store', 'Department store', 'Electronics store', 'Grocery store', 'Home goods store', 'Sporting goods store', 'Supermarket', 'Toy store']",,3.6,4162,4
Great breakfast spot!,5,1546367641351,109814458581817155045,0x80d9535c4d46dc41:0x10e87d5ba105ef78,"['Breakfast restaurant', 'Brunch restaurant', 'Family restaurant', 'Nuevo Latino restaurant', 'Restaurant']","Cafe features a menu of health-inspired Asian & Latin American flavors & a simple, relaxed ambiance.",4.6,1164,4
Good food,5,1620048324238,111057295923870493628,0x809ac7940a9e681f:0x5ea27f8526e44104,['Chinese restaurant'],,4.3,428,4
Sparkling A,5,1535374805892,110795407071836967167,0x808fcaed6badfcf1:0x53e959e9f6902862,['Car wash'],,3.3,118,4
Good food,5,1486054151201,104365035044725738252,0x80c36783d38e4189:0x51c69d59b586431d,['Chinese restaurant'],,3.6,692,4
"Great place here. The Moreno Valley one is way out of way so this was was the most closest we got. All you can eat place with pizza, salads, entrees, snacks like donuts and ice cream... close to a Walmart and all natural juice bar.",5,1567053030581,109299946813472341711,0x80dd2bd8b5549e0b:0x5fe6638018179d4,"['Pizza restaurant', 'Video arcade']","Pizzeria chain catering to families with arcade games, bowling, bumper cars & laser tag.",4.1,2854,4
"I love that new dollar coffee frappe, their burgers are great also, especially the classic Whopper",5,1561263354621,111627022225216104975,0x80945dd081a1a2ff:0xeec882ebd7019c2c,"['Restaurant', 'Fast food restaurant']","Well-known fast-food chain serving grilled burgers, fries & shakes, plus breakfast.",3.6,738,4
"Great food, great service!",5,1513536634680,116426183005088377301,0x808f7bf25634f977:0x3737cfe399af227f,"['American restaurant', 'Breakfast restaurant', 'Diner', 'Family restaurant', 'Hamburger restaurant']",Down-home chain serving all-day American comfort food & desserts in a woodsy setting.,3.9,1432,4
